哀悼	参加追悼会的人向死者表示深切的哀悼。//$
挨	小心，别挨铁路太近。/楼跟楼挨得很近。/我们两家的房子挨着。/在教室里他挨着我坐。//$大家一个挨一个坐好。/不许挑，挨着拿别急，挨着往前走，都看得到。/咱们挨着看，看完这张再看下一张。//$
挨	挨打挨了一顿打。/挨了一通骂挨冻。/挨了几天冻。/本来想做一件好事，却因为没做好挨了一顿批评发洪水了，她过不了河，还挨了一天饿。//$
爱	好孩子，我爱你。/他很爱自己的家乡。/丈夫很爱妻子。/第一次见面，姑娘就爱上了那个小伙子。/$这么小的孩子就非常爱学习，长大了一定是个人才。//$这孩子身体不太好，爱生病。/这种钢笔不好，爱坏。/最近妈妈爱发脾气。//$
爱护	人人都要爱护儿童，因为他们是祖国的未来。///$
爱惜	现在粮食虽然多了，也应该爱惜。/从小就要教育孩子爱惜时间。/市政府花了那么多钱种的草，我们大家要爱惜。//$
爱好	他一辈子都爱好京剧。/$
碍	我干我的，碍着你了吗?//$
安	厨房里多安了一个水龙头，就方便多了。/这里太暗了，应该安一盏电灯。//$
安排	代表团的日程已经安排好了。/这是今天的安排，你们看行不行。/星期天您有什么安排?/$新来的大学生安排在办公室工作。/他被安排到研究所去了。/我还不知道会被安排在哪儿呢。/这批士兵回到家乡以后都安排得不错。/$
安置	我把客人安置好了再回办公室。/大家把行李安置到房间里，就请到餐厅吃饭。/你把房间里的东西安置一下。//$
安装	这种设备很复杂，要专门的人才会安装。/这台机器，我不会安装。//$
安定	最重要的是安定灾区人民的情绪。/你们两个人安定一下情绪，一会儿就该上台演出了。//$
安慰	好好安慰妈妈。/安慰安慰他。/同事们知道他生了重病，都来安慰他。/这次比赛他又失败了，别的运动员纷纷过来安慰他。/大家的话使他得到很大安慰。/自己文化水平不高，但孩子都上了大学，这给了他很大的安慰。//$
按	这个孩子怕打针，每次打针，都要两个人按着他。//$
按	编者按。//$
按摩	按摩的疗效很好。/那家按摩中心很受顾客的欢迎。/你什么地方疼，我给你按摩按摩/$
暗示	他献了敲桌子，暗示我别再说下去。/他看了我一眼，暗示我谈话该结束了。/他一暗示，我就知道是怎么回事了。//$
昂	昂着头走路。//$
凹	地面凹下去了。/路中间凹下去一块。//$
熬	这种菜得多熬一熬。/再熬一会儿吧。//$
熬	要熬多长时间才熟?//$昨天熬了一夜，今天白天就没精神。/摔伤了脚，一个月不能下地走路，日子可真难熬。//$
扒	扒着墙向外看。/扒着窗户期外边看。/扒着树干往上爬。/公共汽车里已经很挤了，还有人扒着车门想上去。/$树皮扒光了，树就会死的。/香蕉要扒了皮才能吃。/房间里太热，他连背心都扒了。//$
巴	姐姐就巴着你早点儿来。/$
巴不得	她巴不得马上见到他。/她巴不得马上就去。/我累死了，巴不得有人来帮帮忙。/考完试，他巴不得马上回到家乡。//$
拔	昨天我去医院拔牙。/大风把小树连根拔掉了。//$
跋涉	长途跋涉。/跋山涉水。/我们经过几天的跋涉，终于找到了那个小村庄。/他们跋涉了几百公里，才到了那个小城。///$
把	把住方向盘。/把着舵。//$
把握	他是个新司机，把握着方向盘的手直出汗。/为了不摔倒，她紧紧地把握住车把。/$把握时机。/把握自己的命运。/说话要会把握分寸。/要把握好事物发展的规律。/$
罢了	罢了，我不说了，我怎么说你部不相信。/你不好好学就罢了，别影响别人。/你不愿意做就罢了，我一个人做。/$
掰	把一块月饼掰成两半儿。/吃饭时不小心掰断了筷子。//$
摆	写字台上摆着几件工艺品。/这几盆花再摆几天就搬走。/新买的桌子摆在哪儿?//$我不喜欢结婚时花太多的钱，摆阔气。/才当了一个小小的科长，摆什么威风啊!//$他朝我摆了摆手，上了火车。/我家的小狗见了我总是高兴得又摇头又摆尾巴。/小鱼摆了摆尾巴游走了。//$摆事实，讲道理。/你也想参加？那你摆摆条件吧。/把你的理由摆出来，大家听听。//$
摆动	树枝在风中摆动。/摆动手中的小旗。/我女儿摆动着小手向我告别。/$
摆脱	摆脱了痛苦。/摆脱了烦恼。/我好不容易才摆脱了他。/$
败	今天的足球比赛，红队胜了，蓝队败了。/他们零比二败了。/没想到今天败在他的手下。//$山东女排大败四川女排。/我军击败敌军一个团。//$
拜	他跪在父亲像前拜了又拜。/$
拜读	拜读了您的文章。/希望早日拜读您的小说。/我一直在拜读您的著作。/您的大作，我已经拜读过了。//$
拜访	拜访师长、亲友。/我们周末去拜访王老师。/上星期我们去拜访了一位老作家。/有时间我一定去拜访您。//$
拜会	拜会国家领导人。/今天上午大使拜会了文化部部长。/中国总理拜会了法国总统。/德国代表团的全体人员拜会了中国领导人。//$
扳	她扳着手指算了半天才算清楚。//$
搬	箱子很重，你一个人搬得动搬不动?。/把花儿搬到外面去。//$楼上搬来了一家人。/我们的邻居昨天搬走了。/去年，我家从上海搬到北京。/这家饭店搬到西城去了。/那所学校搬到郊区去了。//$
搬迁	因为要修路，这里要搬迁几百户居民。/这里的居民都搬迁到郊区去了。/工厂要搬迁了。/$
颁布	中国最近新颁布了一部法律。/市政府颁布了节约用水的规定。/这项法律是去年颁布的。//$
颁发	军队首长出发前颁发了行动的命令。/主席颁发了停战的命令。/政府颁发了紧急动员的命令。/$毕业典礼上校长向毕业生颁发毕业证书。/刚才颁发证书的时候，你去哪儿了?//$
板	板着面孔说话。/王老师总是板着脸，学生们都怕他。/他板起脸，样子很可怕。/你有什么不高兴的事，一天到晚板着个脸?。/照相的时候别板着脸，笑一笑.//$
办	这件事不好办啊!。/就照你的意见办。/明天上午我要去办公室办手续。/帮我办件事．好吗?//$
办理	请问在哪儿办理学生证?。/下午我要去办理出国手续。/今天还可以办理入学手续吗?//$
伴随	家里伴随着她的只有一只小猫。/伴随着社会的进步，人们的生活水平也不断提高。/小孩上街要有大人伴随。/总统去休假，伴随着他的有他的夫人和女儿。//$
伴奏	你唱歌，我用钢琴给你伴奏。/咱们跳舞，还没有人为我们伴奏呢。/他拉小提琴，他的妻子弹钢琴伴奏。//$
拌	你把肉和菜拌得匀一点儿。/凉菜拌好了，可以吃了。//$两个人又拌起来了。/两人拌着拌着就急了。/$
绊	他不小心被绳子绊倒了。/这个地方石头真多，一不小心就绊脚。//$
扮	女扮男装。/她扮的老太太真像。/她真行，扮什么人像什么人。/他扮成个女人上台了。//$
扮演	他在戏里扮演一个小学老师。/这个话剧的主角是王红扮演的。/他扮演的角色一般都是坏人。/剧中的老师由她来扮演。//$
帮	我拿不动，你帮帮我吧。/有你们大家帮我，我一定能做好。/他年纪大了，你应该去帮他做事。/这个我也不懂，帮不了你。//$
帮助	我们要帮助她克服困难。/他以前帮助过我，现在他有困难了，我应该帮助他。/我需要钱的时候，是他帮助了我。//$
绑	把绳子绑紧点儿。/她把写着树名的牌子绑在树上。//$
傍	船要傍岸了，收拾东西，堆备下船吧。//$
包	把衣服包起来。/外面包着一层布。/她很细心地用彩色纸把书包了起来。//$这件事我包了。/把这项工程包下来。/过样做，包你满意。/$
包围	大水把村子包围了。/他们被敌人包围了一天一夜。/经过了几天几夜的战斗，我们才粉碎了敌人的包围。//$
包装	包装得很精美。/请把这件东西包装一下。/不要过分包装，造成浪费。/这件礼物一包装，就像样了。/$
包含	这个句子包含着几个意思。/这篇文章包含三个部分。/他的笑声里包含着很复杂的感情。/老师的话里包含着对我们的希望。//$
包括	中国的西部地区包括哪几个省?。/他的发言把大家的意见都包括进去了。/我说的聪明人，也包括你。/考试题里不包括这部分内容。//$
包办	他们结婚是父母包办的，结婚前只见过一面。/我们反对包办婚姻，提倡自由恋爱。//$
饱尝	饱尝各地的小吃。/出国多年，今天才有机会饱尝家乡的饭菜。/$饱尝离别的痛苦。/二十年来，他们饱尝创业的艰辛。/只有饱尝过生活艰难的人，才会珍惜今天的好日子。//$
饱含	观众的眼睛里都饱含着热泪。/他们心里饱含着对老师的感激。/士兵们饱含着爱国的热情走上战场。//$
保	洪水太大了，房子保不住了。/$天气冷，请注意点儿保暖。/$保质保量地完成任务。/只要认真听课，保你们通过考试。//$
保存	你把这些照片保存好，以后有用。/这些古迹已经保存了一千多年了。///$
保管	重要物品自己要保菅好。/保管好你的证件。/这个图书馆里的图书保管得很好/$
保护	要保护好眼睛。/要注意对森林的保护。/政府很重视对野生动物的保护。//$
保健	举办保健知识讲座。/注意保健比看病吃药更重要。//$
保卫	节日期间要加强安全保卫工作。//$
保养	他保养得不错，满面红光。/天冷了，要注意保养。/保养比吃药更重要/$这些机器保养得不错，一直都很正常。/我的工作就是保养车辆。/保养设备的工作很重要。//$
保佑	上帝保佑我吧!。/求神保佑我们全家平安。//$
保障	有了健全的制度，人们的权益才能得到保障。/$
保重	希望您能保重身体。
保持	保持适当的温度。/他跟小学同学一直保持着联系。/这房子是八百年前的建筑，现在还保持着原来的样子。/$
保留	这是妈妈用过的钢笔，我一直保留在身边。/这里的建筑，只能保留一部分。/这座老房子一直保留到现在，不容易啊。/$保留自己的看法。/你们的看法一致，但是我保留不同意见。/我们虽然作出了决议，但有不同看法还可以保留。//$
保守	要保守国家的机密。/这件事的秘密被保守了20年。/这个秘密已经保守不住了。/$
保修	保修期一年。/你们卖的电冰箱如果坏了，有保修吗?。/本店售出的电视机终身保修。///$
保证	保证孩子有足够的睡眠时间。/我保证按时完成作业。/他来不来，我可保证不了。/我们采取了不少措施，保证了产品的质量。/$
报	把参加种树的人的名单报上来。/下个月的生产计划你们怎么没报?。/把下半年的工作，报个计划来。/把预算报上去。//$父母的恩情一定要报。/报以热烈的掌声。//$
报道	详细地报道。/简单地报道了一下。/报道了一条消息。/昨天的会议，电视台报道了吗?。/这个消患，报纸报道得很及时。/$
报废	报废的机器设备。/这辆汽车已经开了十几年了，早谈报废了。/因为设计有问题，这些机器零件都报废了。/这台电脑报废了，买台新的吧。//$
报告	我向大家报告一个好消息。/你应该把这件事向领导报告一下。/重要的事情要及时报告。/$
报考	今年他报考了北京大学，不知能不能考上。/今天有一百多人来报考。/他们学校今年招五十名学生，有一百人报考。//$
